Time,5423
Reynolds Number,0.0420039777479,[0 0 0 0 0 0 0]
Fit,5.06210123754,[1 -3 -1 0 0 0 0]
K,3.13540040249e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,0.00166971463839,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000007452,[1 -3 0 0 0 0 0]
Macroscale U,(6.88289954669 -0.334054397715 0.446591531449),[0 1 -1 0 0 0 0]
Macroscale p,-254.755241862,[1 -1 -2 0 0 0 0]
Macroscale t,(254.712044645 0.064780414098 -0.0106336118237 0.064780414098 254.741678353 -0.000206092451474 -0.0106336118237 -0.000206092451474 254.739269294),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000752241082203 0.0316559712048 -0.00268884626129 0.0316559712048 -4.41479480457e-06 -1.87392187361e-06 -0.00268884626129 -1.87392187361e-06 -5.61299554539e-07),[0 0 -1 0 0 0 0]
Macroscale mu,-254755.222876,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6565003,[0 2 -2 0 0 0 0]
Microscale mass error,4.39281267764e-15,[1 -3 -1 0 0 0 0]
Microscale momentum error,(5.92728883636e-08 2.62003958353e-07 -1.29722703892e-07),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(5.92728000015e-08 2.62003958397e-07 -1.29722708485e-07),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-0.000818523434859 0.000340299390038 -1.03482776757e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000073109 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(35.2751757976 0.0347752256485 -0.00551262019726),[1 -2 -2 0 0 0 0]
Macroscale T,(-35.2759943803 -0.0344351882625 0.00550240164229),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-35.2343453634 -0.0250804588637 0.00851133205869),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-39.5289506142 0.00235736594134 0.00188175155301),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648375667 5.10804124252e-07 3.92099194184e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095440663 1.79296491928e-06 1.37630075145e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-39.4884180699 0.00175668452531 0.00140226562607),[1 -2 -2 0 0 0 0]
