Time,7189
Reynolds Number,2.10002518558,[0 0 0 0 0 0 0]
Fit,5.06135091756,[1 -3 -1 0 0 0 0]
K,3.13587524525e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,11.4443223819,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.0010000032747,[1 -3 0 0 0 0 0]
Macroscale U,(344.142983904 -16.7537673391 21.8584647293),[0 1 -1 0 0 0 0]
Macroscale p,31746.9201577,[1 -1 -2 0 0 0 0]
Macroscale t,(-31853.9873689 7.04152880785 -13.2693677888 7.04152880785 -31782.3371587 -0.524804724423 -13.2693677888 -0.524804724423 -31788.1381171),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0412956437834 1.55386638143 -0.0909029775334 1.55386638143 -0.000223512389444 -9.44654651809e-05 -0.0909029775334 -9.44654651809e-05 -2.75494172026e-05),[0 0 -1 0 0 0 0]
Macroscale mu,31746816.1964,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.7740196,[0 2 -2 0 0 0 0]
Microscale mass error,-1.49178480055e-13,[1 -3 -1 0 0 0 0]
Microscale momentum error,(-4.79326875815e-07 1.01528648334e-05 1.82094515065e-05),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(-4.79327354697e-07 1.01528649084e-05 1.82094516221e-05),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-2.39723746283 0.831137782501 0.00149318890143),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81003212481 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(1720.14754112 1.91785295493 -0.180208624365),[1 -2 -2 0 0 0 0]
Macroscale T,(-1722.5447781 -1.0867253253 0.181683603815),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-1718.23628425 -1.37270951994 0.331993084801),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-1741.42928445 0.00235736590138 0.00188175130078),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64651571139 5.10804129399e-07 3.9209920882e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.30965623 1.79296493735e-06 1.37630080282e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-1746.47492306 0.0772124455828 0.0616338200492),[1 -2 -2 0 0 0 0]
