Time,3042
Reynolds Number,0.000420040149519,[0 0 0 0 0 0 0]
Fit,5.27444838392,[1 -3 -1 0 0 0 0]
K,3.00917026333e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,1.61106575296e-07,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000993,[1 -3 0 0 0 0 0]
Macroscale U,(0.0688290007065 -0.00334068857755 0.00446674104223),[0 1 -1 0 0 0 0]
Macroscale p,-900.736230313,[1 -1 -2 0 0 0 0]
Macroscale t,(900.736216117 0.000633591670636 -5.44766926056e-05 0.000633591670636 900.736233857 -5.77140020171e-08 -5.44766926056e-05 -5.77140020171e-08 900.736233692),[1 -1 -2 0 0 0 0]
Macroscale d,(-7.50776326568e-06 0.000316722442919 -2.69755702797e-05 0.000316722442919 -4.41370655151e-08 -1.87361924324e-08 -2.69755702797e-05 -1.87361924324e-08 -5.61509453225e-09),[0 0 -1 0 0 0 0]
Macroscale mu,-900736.221372,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6541272,[0 2 -2 0 0 0 0]
Microscale mass error,4.31155565975e-17,[1 -3 -1 0 0 0 0]
Microscale momentum error,(5.86695307912e-10 2.59965939405e-09 -1.2516718123e-09),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(5.86696025096e-10 2.59965929643e-09 -1.25167182803e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-8.16690156515e-08 3.40536100657e-08 -1.04724971087e-09),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000009738 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(1.24113592554 -0.00202226167465 -0.00192405591391),[1 -2 -2 0 0 0 0]
Macroscale T,(-1.2411360078 0.00202229312861 0.00192405611834),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-1.24072710241 0.00211904886966 0.00195404643055),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-5.15283184649 0.00235736594216 0.00188175155804),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648311123 5.10804119462e-07 3.92099197981e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095418007 1.79296490247e-06 1.37630076478e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-5.00951812277 0.000233540951286 0.000186436592074),[1 -2 -2 0 0 0 0]
