Time,1851
Reynolds Number,4.20040149438e-05,[0 0 0 0 0 0 0]
Fit,7.20390370535,[1 -3 -1 0 0 0 0]
K,2.20321007501e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,1.61053257847e-09,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000934,[1 -3 0 0 0 0 0]
Macroscale U,(0.00688290001998 -0.000334068984535 0.000446674832098),[0 1 -1 0 0 0 0]
Macroscale p,-906.608834047,[1 -1 -2 0 0 0 0]
Macroscale t,(906.608833007 6.33462543634e-05 -5.40052591866e-06 6.33462543634e-05 906.608834528 -3.94964983059e-09 -5.40052591866e-06 -3.94964983059e-09 906.608834534),[1 -1 -2 0 0 0 0]
Macroscale d,(-7.50765912561e-07 3.16723932605e-05 -2.6976352011e-06 3.16723932605e-05 -4.41369663492e-09 -1.87361648664e-09 -2.6976352011e-06 -1.87361648664e-09 -5.6151136397e-10),[0 0 -1 0 0 0 0]
Macroscale mu,-906608.82558,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6541056,[0 2 -2 0 0 0 0]
Microscale mass error,4.3222566508e-18,[1 -3 -1 0 0 0 0]
Microscale momentum error,(5.86453618545e-11 2.5999714339e-10 -1.25142106866e-10),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(5.86453108298e-11 2.5999713103e-10 -1.2514210306e-10),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-8.16673518893e-10 3.40538257389e-10 -1.04736111367e-11),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000009162 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(0.931728629451 -0.00235665133025 -0.00189143534292),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.931728630326 0.00235665141079 0.00189143545758),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-0.93168774667 0.00236632990463 0.0018944343978),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.84031498067 0.0023573659422 0.00188175155814),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648310536 5.10804138921e-07 3.92099200029e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095417801 1.79296497077e-06 1.37630077196e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-4.69606685432 0.000219694074312 0.000175383507336),[1 -2 -2 0 0 0 0]
