Time,8424
Reynolds Number,4.20140532056,[0 0 0 0 0 0 0]
Fit,4.4733170719,[1 -3 -1 0 0 0 0]
K,3.54810829698e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,408.359862892,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000632213,[1 -3 0 0 0 0 0]
Macroscale U,(688.349463794 -45.2570593894 34.6853055323),[0 1 -1 0 0 0 0]
Macroscale p,62221.0078922,[1 -1 -2 0 0 0 0]
Macroscale t,(-63304.4005423 231.350378377 -39.0715932979 231.350378377 -62511.7154934 -17.4782624529 -39.0715932979 -17.4782624529 -62465.5350872),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0889885449534 1.95558924314 -0.302068806302 1.95558924314 -0.000449155361364 -0.000189351099343 -0.302068806302 -0.000189351099343 -5.40535291745e-05),[0 0 -1 0 0 0 0]
Macroscale mu,62220614.5254,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.876988,[0 2 -2 0 0 0 0]
Microscale mass error,-2.12729884402e-13,[1 -3 -1 0 0 0 0]
Microscale momentum error,(-8.73825640699e-06 -3.77106460833e-06 3.57149413933e-05),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(-8.73825729286e-06 -3.77106505312e-06 3.57149410491e-05),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-155.3073924 45.2539229521 -0.272864481529),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81006202009 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3036.68591902 4.74694256128 -0.0983654314262),[1 -2 -2 0 0 0 0]
Macroscale T,(-3191.99330268 40.5069841618 -0.174534765044),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3029.35544944 2.57358301573 0.720914846085),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3073.971288 0.00235736587606 0.00188175110016),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64654073122 5.10804123632e-07 3.92099197408e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3097440517 1.79296491711e-06 1.37630076276e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-3083.85194855 0.149065906016 0.118989886087),[1 -2 -2 0 0 0 0]
