Time,4233
Reynolds Number,0.00420040116461,[0 0 0 0 0 0 0]
Fit,5.0814929492,[1 -3 -1 0 0 0 0]
K,3.12343507788e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,1.61639747735e-05,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.0010000000158,[1 -3 0 0 0 0 0]
Macroscale U,(0.688290002881 -0.0334067506337 0.0446666730744),[0 1 -1 0 0 0 0]
Macroscale p,-842.010244846,[1 -1 -2 0 0 0 0]
Macroscale t,(842.009723162 0.00634883013727 -0.000591909809458 0.00634883013727 842.010153782 -2.39882328571e-06 -0.000591909809458 -2.39882328571e-06 842.010130376),[1 -1 -2 0 0 0 0]
Macroscale d,(-7.50909133426e-05 0.00316707555415 -0.00026967711624 0.00316707555415 -4.41380539096e-07 -1.87364671639e-07 -0.00026967711624 -1.87364671639e-07 -5.61490357558e-08),[0 0 -1 0 0 0 0]
Macroscale mu,-842010.231544,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6543429,[0 2 -2 0 0 0 0]
Microscale mass error,4.31443379565e-16,[1 -3 -1 0 0 0 0]
Microscale momentum error,(5.86468871813e-09 2.59730362283e-08 -1.25470224857e-08),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(5.86469539599e-09 2.5973036735e-08 -1.2547022261e-08),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-8.16855848829e-06 3.40514473383e-06 -1.0461264937e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000015499 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.33520183977 0.0013217652548 -0.00225026444341),[1 -2 -2 0 0 0 0]
Macroscale T,(-4.3352100142 -0.0013183860831 0.00225017237779),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.33111408038 -0.000353748332502 0.0025501663979),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-8.27799369244 0.00235736594208 0.00188175155757),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648316991 5.10804110308e-07 3.92099199197e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095420067 1.79296487034e-06 1.37630076904e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-8.14402396655 0.00037200959689 0.000296967340791),[1 -2 -2 0 0 0 0]
