Time,3659
Reynolds Number,0.00210020067455,[0 0 0 0 0 0 0]
Fit,5.10293691415,[1 -3 -1 0 0 0 0]
K,3.1103095219e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,4.03358928029e-06,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000001254,[1 -3 0 0 0 0 0]
Macroscale U,(0.344145002724 -0.0167034143972 0.0223335393849),[0 1 -1 0 0 0 0]
Macroscale p,-874.635780703,[1 -1 -2 0 0 0 0]
Macroscale t,(874.635625341 0.00317082821833 -0.000282859657195 0.00317082821833 874.635770312 -6.93395844203e-07 -0.000282859657195 -6.93395844203e-07 874.635764653),[1 -1 -2 0 0 0 0]
Macroscale d,(-3.75417610019e-05 0.00158357926851 -0.000134860407283 0.00158357926851 -2.20687523855e-07 -9.36815726418e-08 -0.000134860407283 -9.36815726418e-08 -2.80750483249e-08),[0 0 -1 0 0 0 0]
Macroscale mu,-874635.769738,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6542231,[0 2 -2 0 0 0 0]
Microscale mass error,2.19023144575e-16,[1 -3 -1 0 0 0 0]
Microscale momentum error,(2.91925861045e-09 1.24278212089e-08 -7.07028571851e-09),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(2.9192595008e-09 1.24278211678e-08 -7.07028554193e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-2.04190989021e-06 8.513162919e-07 -2.61687690937e-08),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000012298 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(2.6162779225 -0.000536056700786 -0.00206903682746),[1 -2 -2 0 0 0 0]
Macroscale T,(-2.61627996733 0.000536895589257 0.00206901772898),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-2.61423391174 0.00102002492432 0.00221898869138),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-6.54179420493 0.0023573659421 0.0018817515579),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648313731 5.10804136526e-07 3.92099191865e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095418923 1.79296496236e-06 1.37630074331e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-6.40263337553 0.000295082599095 0.000235561391337),[1 -2 -2 0 0 0 0]
