Time,6039
Reynolds Number,0.21001908074,[0 0 0 0 0 0 0]
Fit,5.06001687671,[1 -3 -1 0 0 0 0]
K,3.13669277925e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,0.0476677705524,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000033552,[1 -3 0 0 0 0 0]
Macroscale U,(34.4144860744 -1.67002917829 2.23112489626),[0 1 -1 0 0 0 0]
Macroscale p,2355.19702136,[1 -1 -2 0 0 0 0]
Macroscale t,(-2356.25791222 0.352711208814 -0.157953268422 0.352711208814 -2355.54623597 -0.00507180516791 -0.157953268422 -0.00507180516791 -2355.60651392),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00379091044781 0.15796252329 -0.0132604367286 0.15796252329 -2.20960711008e-05 -9.37576885795e-06 -0.0132604367286 -9.37576885795e-06 -2.80227244625e-06),[0 0 -1 0 0 0 0]
Macroscale mu,2355196.23115,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6660878,[0 2 -2 0 0 0 0]
Microscale mass error,2.25902924148e-14,[1 -3 -1 0 0 0 0]
Microscale momentum error,(2.82948790473e-07 1.09801201324e-06 -8.99903767076e-07),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(2.82948974473e-07 1.09801198017e-06 -8.99903743797e-07),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-0.0206545268808 0.00848426116791 -0.000245760083558),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000329145 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(172.773214156 0.183764461348 -0.0200165213104),[1 -2 -2 0 0 0 0]
Macroscale T,(-172.793868966 -0.175281298192 0.0197716611306),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-172.570106654 -0.134954851827 0.03500478184),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-178.409678556 0.00235736593789 0.00188175153243),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648636427 5.10804119776e-07 3.92099195162e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095532192 1.79296490357e-06 1.37630075488e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-178.784366704 0.00791062836419 0.00631456918078),[1 -2 -2 0 0 0 0]
