Time,4850
Reynolds Number,0.0210019983438,[0 0 0 0 0 0 0]
Fit,5.06429844571,[1 -3 -1 0 0 0 0]
K,3.13403996821e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,0.000410023568867,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.0010000000419,[1 -3 0 0 0 0 0]
Macroscale U,(3.44144990835 -0.167030810738 0.223316796943),[0 1 -1 0 0 0 0]
Macroscale p,-581.006969105,[1 -1 -2 0 0 0 0]
Macroscale t,(580.995921502 0.0320312023327 -0.00400719431141 0.0320312023327 581.003702265 -5.246872841e-05 -0.00400719431141 -5.246872841e-05 581.003101808),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000375750435196 0.0158320822324 -0.00134663205429 0.0158320822324 -2.20712244739e-06 -9.36884455505e-07 -0.00134663205429 -9.36884455505e-07 -2.80702762429e-07),[0 0 -1 0 0 0 0]
Macroscale mu,-581006.944761,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6553017,[0 2 -2 0 0 0 0]
Microscale mass error,2.1951714048e-15,[1 -3 -1 0 0 0 0]
Microscale momentum error,(2.91611473549e-08 1.23692281992e-07 -7.16946944899e-08),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(2.91611499392e-08 1.23692281147e-07 -7.16946938375e-08),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-0.00020439869315 8.51046605921e-05 -2.60279953413e-06),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000041103 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(18.0864531475 0.0161869925519 -0.00370014065805),[1 -2 -2 0 0 0 0]
Macroscale T,(-18.0866575753 -0.0161020115836 0.00369760955321),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-18.0660248344 -0.0113436749367 0.00519958049805),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-22.1674543202 0.00235736594182 0.00188175155558),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648343069 5.10804121607e-07 3.9209919795e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095429221 1.79296491e-06 1.37630076467e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-22.0750128525 0.000987423177224 0.000788213019582),[1 -2 -2 0 0 0 0]
